Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Comments
70,Line,,48,,,57,56,Open Arrow,None,,<<include>>,,
71,Line,,48,,,54,58,Open Arrow,None,,<<include>>,,
72,Line,,48,,,49,58,None,None,,,,
73,Line,,48,,,49,59,None,None,,,,
74,Line,,48,,,49,60,None,None,,,,
75,Line,,48,,,57,55,Open Arrow,None,,<<include>>,,
76,Line,,48,,,49,61,None,None,,,,
77,Line,,48,,,57,61,Open Arrow,None,,<<include>>,,
78,Page,,,,,,,,,,DB,,
79,Rectangle container,UML,78,,,,,,,,abonnement,,
80,Rectangle container,UML,78,,,,,,,,plan_abonnement,,
81,Rectangle container,UML,78,,,,,,,,renouvellement,,
82,Rectangle container,UML,78,,,,,,,,Désactivation,,
83,Rectangle container,UML,78,,,,,,,,suspension_admin,,
84,Use Case,UML,78,,,,,,,,date_demande_annulation,,
85,Use Case,UML,78,,,,,,,,id,,
86,Use Case,UML,78,,,,,,,,date_debut,,
87,Use Case,UML,78,,,,,,,,est_actif,,
88,Use Case,UML,78,,,,,,,,description,,
89,Use Case,UML,78,,,,,,,,prix,,
90,Use Case,UML,78,,,,,,,,duree,,
91,Use Case,UML,78,,,,,,,,idPlan,,
92,Use Case,UML,78,,,,,,,,nomPlan,,
93,Use Case,UML,78,,,,,,,,created_At,,
94,Use Case,UML,78,,,,,,,,updated_At,,
95,Decision,Flowchart Shapes/Containers,78,,,,,,,,correspond,,
96,Use Case,UML,78,,,,,,,,statut,,
97,Use Case,UML,78,,,,,,,,created_At,,
98,Use Case,UML,78,,,,,,,,updated_At,,
99,Use Case,UML,78,,,,,,,,transport_type_id,,
100,Use Case,UML,78,,,,,,,,renouvellement_auto,,
101,Note,UML,78,,,,,,,,"EN_ATTENTE_PAIEMENT
ACTIF 
EXPIRE 
SUSPENDU
ANNULATION_EN_COURS
ECHEC_REMBOURSEMENT 
ANNULE",,
102,Use Case,UML,78,,,,,,,,max_periode_désactivation,,
103,Use Case,UML,78,,,,,,,,max_désactivation,,
104,Sticky note,Sticky Notes,78,,,,,,,,max de periode du désactivation,douae rohand,
105,Use Case,UML,78,,,,,,,,min_jours_entre_désactivation,,
106,Sticky note,Sticky Notes,78,,,,,,,,min de durrée entre 2 désactivation,douae rohand,
107,Decision,Flowchart Shapes/Containers,78,,,,,,,,concerne,,
108,Use Case,UML,78,,,,,,,,date_renouvellement,,
